,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,class
0,56,3,1,0,0,0,0,1,5,1,261,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
1,57,7,1,3,1,0,0,1,5,1,149,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
2,37,7,1,3,0,2,0,1,5,1,226,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
3,40,0,1,1,0,0,0,1,5,1,151,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
4,56,7,1,3,0,0,2,1,5,1,307,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
5,45,7,1,2,1,0,0,1,5,1,198,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
6,59,0,1,5,0,0,0,1,5,1,139,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
7,41,1,1,7,1,0,0,1,5,1,217,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
8,24,9,2,5,0,2,0,1,5,1,380,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
9,25,7,2,3,0,2,0,1,5,1,50,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
10,41,1,1,7,1,0,0,1,5,1,55,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
11,25,7,2,3,0,2,0,1,5,1,222,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
12,29,1,2,3,0,0,2,1,5,1,137,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
13,57,3,0,0,0,2,0,1,5,1,293,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
14,35,1,1,1,0,2,0,1,5,1,146,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
15,54,5,1,2,1,2,2,1,5,1,174,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
16,35,1,1,1,0,2,0,1,5,1,312,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
17,46,1,1,1,1,2,2,1,5,1,440,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
18,50,1,1,2,0,2,2,1,5,1,353,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
19,39,4,2,2,1,0,0,1,5,1,195,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
20,30,10,1,3,0,0,0,1,5,1,38,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
21,55,1,1,0,1,2,0,1,5,1,262,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
22,55,5,2,3,0,2,0,1,5,1,342,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
23,41,9,2,3,0,2,0,1,5,1,181,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
24,37,0,1,3,0,2,0,1,5,1,172,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
25,35,9,1,6,0,0,2,1,5,1,99,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
26,59,9,1,7,0,2,0,1,5,1,93,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
27,39,6,1,2,1,0,0,1,5,1,233,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
28,54,9,2,6,1,0,0,1,5,1,255,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
29,55,11,1,6,1,1,1,1,5,1,362,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
30,46,0,1,7,0,0,0,1,5,1,348,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
31,59,9,1,7,0,2,0,1,5,1,386,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
32,49,1,1,7,0,0,0,1,5,1,73,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
33,54,4,1,0,1,2,0,1,5,1,230,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
34,54,1,0,0,0,0,0,1,5,1,208,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
35,55,11,1,0,1,2,0,1,5,1,336,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
36,34,7,1,3,0,0,0,1,5,1,365,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
37,52,9,1,2,0,2,0,1,5,1,1666,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
38,41,0,1,6,0,2,0,1,5,1,577,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
39,56,9,1,0,0,2,0,1,5,1,137,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
40,58,4,3,6,0,2,0,1,5,1,366,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
41,32,2,1,3,0,2,0,1,5,1,314,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
42,38,0,2,5,0,0,0,1,5,1,160,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
43,57,0,1,6,0,0,2,1,5,1,212,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
44,44,0,1,6,1,2,0,1,5,1,188,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
45,42,9,2,5,1,0,0,1,5,1,22,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
46,57,0,1,6,0,2,2,1,5,1,616,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
47,40,1,1,2,0,0,2,1,5,1,178,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
48,35,0,1,6,0,2,0,1,5,1,355,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
49,45,1,1,2,0,2,0,1,5,1,225,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
